id;NAME;REGION;PHONE;EMAIL;ADDRESS;OKATO;CODE;autokey
318;Прокуратура Тотемского района Вологодской области;Вологодская область;8 (817-39) 2-25-78;totma@35.mailop.ru;161300 г. Тотьма, ул. Советская, д. 24;19;385893537;FED_GENPROK_ORGANIZATION_318
328;Воронежская межрайонная природоохранная прокуратура;Воронежская область;8(473) 264-11-13;prokuratura-vrn.priroda@36.mailop.ru;394006, г. Воронеж, ул. Ворошилова, д. 22, корп. 98;20;386077549;FED_GENPROK_ORGANIZATION_328
365;Прокуратура Семилукского района Воронежской области;Воронежская область;8(47372)2-29-43;prokuratura-semiluki@36.mailop.ru;396810, г. Семилуки, ул. 25 лет Октября, д. 116;20;386103475;FED_GENPROK_ORGANIZATION_365
1347;Прокуратура Черлакского района Омской области;Омская область;8 (381-53) 2-45-35;r_che@prokuratura.omsk.ru;Омская область, р.п. Черлак, ул. Ленина, д. 126;52;384221820;FED_GENPROK_ORGANIZATION_1347
1397;Прокуратура Тюльганского района Оренбургской области;Оренбургская область;8 (35332) 2-13-74;tulgan@56.mailop.ru;462010, Оренбургская область, Тюльганский район, п. Тюльган, ул. М. Горького, 5;53;386885151;FED_GENPROK_ORGANIZATION_1397
1042;Лужская городская прокуратура Ленинградской области;Ленинградская область;8 (813-72) 2-19-11;plo-luga@prok47.ru;188230, Ленинградская область, г. Луга, ул. Железнодорожная, д.12а;41;383611003;FED_GENPROK_ORGANIZATION_1042
399;Никулинская межрайонная прокуратура города Москвы;Город Москва столица Российской Федерации город федерального значения;8 499 233 42 46;nik@77.mailop.ru;119602, г. Москва, Мичуринский проспект, Олимпийская деревня, д. 3;45;344936847;FED_GENPROK_ORGANIZATION_399
1089;Прокуратура Сусуманского района Магаданской области;Магаданская область;8 (41345) 2-26 -62;susumanprokuror@bk.ru;686314, Магаданская область, Сусуманский район, г. Сусуман, ул. Набережная, д. 3;44;386652117;FED_GENPROK_ORGANIZATION_1089
249;Волгоградская прокуратура по надзору за соблюдением законов в исправительных учреждениях;Волгоградская область;8 (8442) 38-10-62;iu@34.mailop.ru;400131, г. Волгоград, ул. Ленина д. 9;18;385696341;FED_GENPROK_ORGANIZATION_249
283;Прокуратура Руднянского района Волгоградской области;Волгоградская область;8(84453) 7-18-43;rudnya@34.mailop.ru;403740, Волгоградская область, Руднянский район, р.п. Рудня, ул. Октябрьская, д. 77, пом. 3;18;385847573;FED_GENPROK_ORGANIZATION_283
134;Прокуратура Няндомского района Архангельской области;Архангельская область;8 (818-38) 6-21-57;nyandomsky@29.mailop.ru;164200, г. Няндома, ул. Леваневского, д. 52;11;382906681;FED_GENPROK_ORGANIZATION_134
1182;Павловская городская прокуратура Нижегородской области;Нижегородская область;8 (83171) 2-12-62;31@52.mailop.ru;606100, Нижегородская область, г. Павлово, ул. Ломоносова, д. 25;22;386662886;FED_GENPROK_ORGANIZATION_1182
1190;Прокуратура Бутурлинского района Нижегородской области;Нижегородская область;8 (83172) 5-23-83;08@52.mailop.ru;607440, Нижегородская область, р.п. Бутурлино, ул. Набережная, д. 46;22;386663331;FED_GENPROK_ORGANIZATION_1190
1075;Прокуратура Советского района г. Липецка Липецкой области;Липецкая область;8 (4742) 77-16-83;sov@48.mailop.ru;398600, Липецкая область, г. Липецк, ул. Октябрьская, 71.;42;383697021;FED_GENPROK_ORGANIZATION_1075
89;Прокуратура Завитинского района Амурской области;Амурская область;8 (41636) 2-14-92;zav@28.mailop.ru;676870, Амурская область, г. Завитинск, ул. Комсомольская, д. 47;10;382828694;FED_GENPROK_ORGANIZATION_89
463;Биробиджанская межрайонная природоохранная прокуратура Амурской бассейновой природоохранной прокуратуры;Амурская бассейновая природоохранная прокуратура;8 (42622) 2-10-22;brmpp_abpp@81.mailop.ru;679000, Еврейская автономная область, г. Биробиджан, ул. Шолом-Алейхема, д.55;99;382472569;FED_GENPROK_ORGANIZATION_463
370;Прокуратура Центрального района г. Воронежа Воронежской области;Воронежская область;8(473) 252-07-01;prokuratura-vrn.centr@36.mailop.ru;394030, г. Воронеж, ул. Плехановская, д. 60;20;386106126;FED_GENPROK_ORGANIZATION_370
10;Прокуратура Алтайского района Алтайского края;Алтайский край;8 (38537) 22176;altaiskiy@22.mailop.ru;659650, Алтайский край, Алтайский р-н, с. Алтайское, ул. Советская, 150;1;382730726;FED_GENPROK_ORGANIZATION_10
331;Воронежская транспортная прокуратура Московской межрегиональной транспортной прокуратуры;Московская межрегиональная транспортная прокуратура;8 (473) 252-73-08;vort@190.mailop.ru;394036, г. Воронеж, площадь Черняховского, д. 2;20;382693688;FED_GENPROK_ORGANIZATION_331
1395;Прокуратура Ташлинского района Оренбургской области;Оренбургская область;8 (35347) 2-10-83;tashla@56.mailop.ru;461170, Оренбургская область, Ташлинский район, с. Ташла, ул. Хлебная, 10 а;53;386884226;FED_GENPROK_ORGANIZATION_1395
1044;Приозерская городская прокуратура Ленинградской области;Ленинградская область;8 (813-79) 3-50-08;plo-priozersk@prok47.ru;188760, Ленинградская область, г. Приозерск, ул. Калинина, д.2;41;383618576;FED_GENPROK_ORGANIZATION_1044
22;Прокуратура Егорьевского района Алтайского края;Алтайский край;8 (38560) 22276;egorevka@22.mailop.ru;658280, Алтайский край, Егорьевский р-н, с.Новоегорьевское, ул. Октябрьская, 1;1;382735126;FED_GENPROK_ORGANIZATION_22
1097;Воскресенская городская прокуратура Московской области;Московская область;8 (496) 442-10-57;vos@50.mailop.ru;"140200, Московская область, г. Воскресенск, ул. Советская, д. 10 ""В""";46;382154854;FED_GENPROK_ORGANIZATION_1097
1225;Прокуратура Уренского района Нижегородской области;Нижегородская область;8 (83154) 2-12-75;43@52.mailop.ru;606800, Нижегородская область, г. Урень, ул.Ленина, д. 56;22;386738924;FED_GENPROK_ORGANIZATION_1225
534;Прокуратура Пучежского района Ивановской области;Ивановская область;8 (49345)2-14-57;ivprok18@37.mailop.ru;155360, Ивановская область, г. Пучеж, ул. 30 лет Победы, д. 4;24;386296746;FED_GENPROK_ORGANIZATION_534
1066;Прокуратура Измалковского района Липецкой области;Липецкая область;8 (47478) 2-15-62;izm@48.mailop.ru;399000, Липецкая область, с. Измалково, ул. Стаханова, 4 Б;42;383688065;FED_GENPROK_ORGANIZATION_1066
359;Прокуратура Павловского района Воронежской области;Воронежская область;8(47362) 2-01-05;prokuratura-pavlovsk@36.mailop.ru;396422, г. Павловск, ул. 1 Мая, д. 15;20;386102296;FED_GENPROK_ORGANIZATION_359
1070;Прокуратура Лев-Толстовского района Липецкой области;Липецкая область;8 (47464) 2-22-48;lvt@48.mailop.ru;399600, Липецкая область, п. Лев-Толстой, Красноармейский проезд, 11;42;383692266;FED_GENPROK_ORGANIZATION_1070
1135;Раменская городская прокуратура Московской области;Московская область;8 (496) 463-36-94;ram@50.mailop.ru;140100, Московская область, г. Раменское, ул. Ногина, д. 8;46;382210647;FED_GENPROK_ORGANIZATION_1135
132;Прокуратура Лешуконского района Архангельской области;Архангельская область;8 (818-33) 3-11-30;leshukonsky@29.mailop.ru;164670, с. Лешуконское, ул. Комсомольская, д. 8;11;382905989;FED_GENPROK_ORGANIZATION_132
241;Прокуратура Петушинского района Владимирской области;Владимирская область;8(49243)2-14-35;petushki@vladprok.ru;601144, Владимирская область, г. Петушки, ул. Ленина, д. 14;17;383163756;FED_GENPROK_ORGANIZATION_241
137;Прокуратура Устьянского района Архангельской области;Архангельская область;8 (818-55) 5-27-29;ustyansky@29.mailop.ru;165210, пос. Октябрьский, ул. Ленина, д. 14;11;382907626;FED_GENPROK_ORGANIZATION_137
1377;Прокуратура Ленинского района г. Орска Оренбургской области;Оренбургская область;8 (3537) 21-55-20;len_orsk@56.mailop.ru;462431, Оренбургская область, г. Орск, пр. Ленина, 78 б;53;386879194;FED_GENPROK_ORGANIZATION_1377
2002;Казанская прокуратура по надзору за соблюдением законов на особо режимных объектах Республики Татарстан;Республика Татарстан (Татарстан);8 (843) 560-70-55;kazprok.oro@16.mailop.ru;420039, Республика Татарстан, город Казань, улица Хасана Туфана, 35;92;384646955;FED_GENPROK_ORGANIZATION_2002
450;Прокуратура Петродворцового района города Санкт-Петербурга;Город Санкт-Петербург город федерального значения;8 (812) 422 07 23;kancptrd@78.mailop.ru;198412, Санкт-Петербург, г. Ломоносов, Дворцовый пр., д.42;40;383207276;FED_GENPROK_ORGANIZATION_450
1217;Прокуратура Приокского района г. Нижнего Новгорода Нижегородской области;Нижегородская область;8 (831) 465-00-34;56@52.mailop.ru;603009, Нижегородская область, г.Н.Новгород, ул. Горная, д. 18;22;386738307;FED_GENPROK_ORGANIZATION_1217
174;Прокуратура Ивнянского района Белгородской области;Белгородская область;8 (47- 243) 5-30-88;ivnya@31.mailop.ru;309110, Белгородская область, п. Ивня, ул. Ленина, 4 А;14;382995566;FED_GENPROK_ORGANIZATION_174
96;Прокуратура Михайловского района Амурской области;Амурская область;8 (41637) 4-14-12;mhl@28.mailop.ru;676680, Амурская область, с. Поярково, ул. Ленина, д. 29;10;382866783;FED_GENPROK_ORGANIZATION_96
166;Губкинская городская прокуратура Белгородской области;Белгородская область;8 (47- 241) 2-26-48;gubkin@31.mailop.ru;309181, Белгородская область, г. Губкин, ул. Кирова, 67 А;14;382993063;FED_GENPROK_ORGANIZATION_166
1031;Волховская городская прокуратура Ленинградской области;Ленинградская область;8 (813-63) 2-42-84;plo-volkhov@prok47.ru;187402, Ленинградская область, г. Волхов, ул. Волгоградская, д.3;41;383604077;FED_GENPROK_ORGANIZATION_1031
1327;Прокуратура Марьяновского района Омской области;Омская область;8 (381-68) 2-16-00;r_mar@prokuratura.omsk.ru;Омская область, р.п. Марьяновка, ул. Пролетарская, д. 46а;52;384216335;FED_GENPROK_ORGANIZATION_1327
541;Тейковская межрайонная прокуратура Ивановской области;Ивановская область;8 (49343)2-27-04;ivprok22@37.mailop.ru;155040, Ивановская область, г. Тейково, ул. Октябрьская, д. 7;24;386299296;FED_GENPROK_ORGANIZATION_541
58;Прокуратура Солтонского района Алтайского края;Алтайский край;8(38533) 21120;solton@22.mailop.ru;659520, Алтайский край, Солтонский р-н, с.Солтон, ул. Молодежная, 45;1;382808914;FED_GENPROK_ORGANIZATION_58
319;Прокуратура Усть-Кубинского района Вологодской области;Вологодская область;8 (817-53) 2-11-13;uskub@35.mailop.ru;161140 с. Устье, Новый пер., д. 4;19;385895003;FED_GENPROK_ORGANIZATION_319
74;Прокуратура Шипуновского района Алтайского края;Алтайский край;8 (38550) 22376;shipunovo@22.mailop.ru;658390, Алтайский край, Шипуновский р-н, с.Шипуново, пр-кт Комсомольский, 83;1;382816816;FED_GENPROK_ORGANIZATION_74
116;Онежская прокуратура по надзору за исполнением законов в исправительных учреждениях Архангельской области;Архангельская область;8 (818-32) 7-17-76;onezhskayaiu@29.mailop.ru;164262, пос. Плесецк, ул. Ленина, д. 22;11;382896472;FED_GENPROK_ORGANIZATION_116
1247;Прокуратура Новгородской области;Новгородская область;8 816 298 46 06;prok@53.mailop.ru;173001, Новгородская область, г. Великий Новгород, ул. Новолучанская, д. 11;49;344551384;FED_GENPROK_ORGANIZATION_1247
494;Прокуратура Красночикойского района Забайкальского края;Забайкальский край;8 (30230) 21-58-9;KRSNCH@75.mailop.ru;673060, Забайкальский край, Красночикойский район, с. Красный Чикой, ул.Первомайская, д.89;76;383232174;FED_GENPROK_ORGANIZATION_494
1023;Прокуратура Суджанского района Курской области;Курская область;8 (471-43) 2-15-43;SUD@46.mailop.ru;307800, Курская область, г. Суджа, ул. Ленина, д. 17;38;383571969;FED_GENPROK_ORGANIZATION_1023
543;Шуйская межрайонная прокуратура Ивановской области;Ивановская область;8 (49351) 3-85-35;ivprok24@37.mailop.ru;155900, Ивановская область, г. Шуя, пл. Ленина, д. 5;24;386300124;FED_GENPROK_ORGANIZATION_543
1028;Прокуратура Черемисиновского района Курской области;Курская область;8 (47159) 2-16-45;CHE@46.mailop.ru;306440, Курская область, Черемисиновский район, п. Черемисиново, ул. Мира, д. 7;38;383574007;FED_GENPROK_ORGANIZATION_1028
487;Прокуратура Железнодорожного района г. Читы Забайкальского края;Забайкальский край;8 (3022) 23-85-99;ZHEL@75/mailop.ru;672000, Забайкальский край, г. Чита, ул. П.Осипенко, д.1;76;383225578;FED_GENPROK_ORGANIZATION_487
293;Урюпинская межрайонная прокуратура Волгоградской области;Волгоградская область;8(84442) 4-24-19;urupinsk@34.mailop.ru;403120, Волгоградская область, г. Урюпинск пер. Ульяновский д. 2;18;385858438;FED_GENPROK_ORGANIZATION_293
371;Прокуратура Эртильского района Воронежской области;Воронежская область;8(47345)2-17-83;prokuratura-ertil@36.mailop.ru;397030, г. Эртиль, пл. Ленина, д. 4;20;386106480;FED_GENPROK_ORGANIZATION_371
391;Московская межрегиональная транспортная прокуратура;Московская межрегиональная транспортная прокуратура;8 (495) 785-70-00;mmtp@190.mailop.ru;107140, г. Москва, ул. Краснопрудная, д. 22 Б;45;360072540;FED_GENPROK_ORGANIZATION_391
506;Прокуратура Центрального района г. Читы Забайкальского края;Забайкальский край;8 (3022) 23–85–33;PRO@75.mailop.ru;672000, Забайкальский край, г. Чита, ул. П.Осипенко, д.1;76;383239650;FED_GENPROK_ORGANIZATION_506
521;Прокуратура Верхнеландеховского района Ивановской области;Ивановская область;8 (49349)2-10-42;ivprok05@37.mailop.ru;155210, Ивановская область, п. Верхний Ландех, ул. Западная, д. 28;24;386290221;FED_GENPROK_ORGANIZATION_521
1014;Прокуратура Медвенского района Курской области;Курская область;8 (47146) 4-13-54;MED@46.mailop.ru;307030, Курская область, Медвенский район, п. Медвенка, ул. Советская, д. 34;38;383569955;FED_GENPROK_ORGANIZATION_1014
329;Воронежская прокуратура по надзору за исполнением законов на особо режимных объектах;Воронежская область;8 (473) 236-86-40;prokuratura-vrn.oro@36.mailop.ru;394006, г. Воронеж, ул. Ворошилова, д. 22, корп. 98;20;386077733;FED_GENPROK_ORGANIZATION_329
517;Ивановская межрайонная прокуратура Ивановской области;Ивановская область;8 (4932)32-66-22;ivprok09@37.mailop.ru;153000, Ивановская область, г. иваново, пр. Ленина, д. 16б;24;386279163;FED_GENPROK_ORGANIZATION_517
340;Прокуратура Верхнемамонского района Воронежской области;Воронежская область;8(47355)5-61-85;prokuratura-vmamon@36.mailop.ru;396460, с. Верхний Мамон, ул. 60 лет Октября, д. 12;20;386080899;FED_GENPROK_ORGANIZATION_340
1124;Прокуратура города Дубны Московской области;Московская область;8 (496) 212-34-05;dub@50.mailop.ru;141983, Московская область, г Дубна, ул. Тверская д. 27Б;46;382162106;FED_GENPROK_ORGANIZATION_1124
405;Прокуратура города Москвы;Город Москва столица Российской Федерации город федерального значения;8 495 951 71 97;moscow_mb@77.mailop.ru;109992, г. Москва, пл. Крестьянская застава, д. 1;45;344549213;FED_GENPROK_ORGANIZATION_405
305;Прокуратура Вытегорского района Вологодской области;Вологодская область;8 (817-46) 2-28-11;viteg@35.mailop.ru;162900 г. Вытегра, ул. Революции, д. 43;19;385871017;FED_GENPROK_ORGANIZATION_305
338;Прокуратура Богучарского района Воронежской области;Воронежская область;8(47366) 2-40-87;prokuratura-boguchar@36.mailop.ru;396750, Воронежская область, Богучар, Военный городок нп., 68;20;386080127;FED_GENPROK_ORGANIZATION_338
1346;Прокуратура Центрального административного округа г. Омска Омской области;Омская область;8 (3812) 32-53-23;r_cen@prokuratura.omsk.ru;Омская область, г. Омск, ул. Пушкина, д. 17;52;384221500;FED_GENPROK_ORGANIZATION_1346
513;Читинская транспортная прокуратура Восточно-Сибирской транспортной прокуратуры;Восточно - Сибирская транспортная прокуратура;8 (3022) 32-43-37;vstp19@vstproc.ru;672007, Забайкальский край, г. Чита, ул.Костюшко-Григоровича, д. 27;76;382538160;FED_GENPROK_ORGANIZATION_513
427;Хамовническая межрайонная прокуратура города Москвы;Город Москва столица Российской Федерации город федерального значения;8 499 242 53 87;kham@77.mailop.ru;119270, г. Москва, Фрунзенская наб., д. 38/1;45;344939127;FED_GENPROK_ORGANIZATION_427
70;Прокуратура Целинного района Алтайского края;Алтайский край;8 (38596) 21576;celinnoe@22.mailop.ru;656056, Алтайский край ,Целинный р-н, с.Целинное, ул. Ленина, 17;1;382814969;FED_GENPROK_ORGANIZATION_70
322;Прокуратура Чагодощенского района Вологодской области;Вологодская область;8 (817-41) 2-17-62;chago@35.mailop.ru;162400 п. Чагода, ул. Кирова, д. 5б;19;385896163;FED_GENPROK_ORGANIZATION_322
333;Лискинская транспортная прокуратура Московской межрегиональной транспортной прокуратуры;Московская межрегиональная транспортная прокуратура;8 (473-91) 4-49-5;list@190.mailop.ru;397900, Воронежская обл., г. Лиски, ул. Привокзальная, д. 36;20;382694667;FED_GENPROK_ORGANIZATION_333
1116;Ногинская городская прокуратура Московской области;Московская область;8 (496) 511-73-95;nog@50.mailop.ru;142401, Московская область, г. Ногинск, ул. Воздушных десантников, д. 1;46;382208818;FED_GENPROK_ORGANIZATION_1116
5;Барнаульская транспортная прокуратура Западно-Сибирской транспортной прокуратуры;Западно - Сибирская транспортная прокуратура;8 (3852) 38-00-11;barnaul.tp@790.mailop.ru;656015, Алтайский край, г. Барнаул, ул. Молодежная, д.26;1;382604670;FED_GENPROK_ORGANIZATION_5
261;Прокуратура Дзержинского района г. Волгограда Волгоградской области;Волгоградская область;8 (8442) 36-24-01;dze@34.mailop.ru;400075, г. Волгоград, ул.Краснополянская, д. 40 А;18;385843506;FED_GENPROK_ORGANIZATION_261
1139;Солнечногорская городская прокуратура Московской области;Московская область;8 (495) 994-13-77;sol@50.mailop.ru;141503, Московская область, г. Солнечногорск, ул. Почтовая, д. 39;46;382214611;FED_GENPROK_ORGANIZATION_1139
462;Севастопольская межрайонная природоохранная прокуратура;Город федерального значения Севастополь;8 (8692) 63-67-81;priroda@92.mailop.ru;299043, г. Севастополь, ул. Новикова, д. 56;67;383214506;FED_GENPROK_ORGANIZATION_462
2007;Нурлатская городская прокуратура Республики Татарстан;Республика Татарстан (Татарстан);8 (84345) 2-46-66;nur.prok@16.mailop.ru;423040, Республика Татарстан, город Нурлат, улица Хамадеева, 15;92;384649935;FED_GENPROK_ORGANIZATION_2007
11;Прокуратура Баевского района Алтайского края;Алтайский край;8 (38585) 22276;baevo@22.mailop.ru;658510, Алтайский край, Баевский р-н, с. Баево, ул. Кулундинская, За;1;382731617;FED_GENPROK_ORGANIZATION_11
41;Прокуратура Мамонтовского района Алтайского края;Алтайский край;8 (38583) 22376;mamontovo@22.mailop.ru;658560, Алтайский край, Мамонтовский р-н, с.Мамонтово, ул. Кашировская, 20;1;382748487;FED_GENPROK_ORGANIZATION_41
309;Прокуратура Кадуйского района Вологодской области;Вологодская область;8 (817-42) 5-11-20;kadui@35.mailop.ru;162510 п. Кадуй, ул. Строителей, д. 10;19;385872186;FED_GENPROK_ORGANIZATION_309
1390;Прокуратура Саракташского района Оренбургской области;Оренбургская область;8 (35333) 6-16-92;saraktash@56.mailop.ru;462100, Оренбургская область, Саракташский район, п. Саракташ, ул. Депутатская, 43;53;386881997;FED_GENPROK_ORGANIZATION_1390
1067;Прокуратура Краснинского района Липецкой области;Липецкая область;8 (47469) 2-04-82;krs@48.mailop.ru;399670, Липецкая область, с. Красное, ул. Газовиков, 12.;42;383690715;FED_GENPROK_ORGANIZATION_1067
1169;Прокуратура Ненецкого автономного округа;Ненецкий автономный округ (Архангельская область);8 (81853) 4-27-11;proknao@prokuratura-nao.ru;166000, Ненецкий автономный округ, г. Нарьян-Мар, ул. им. В.И. Ленина, д. 40;11;360082830;FED_GENPROK_ORGANIZATION_1169
448;Прокуратура Петербургского метрополитена;Город Санкт-Петербург город федерального значения;8 (812) 271-13-15;priemmetro@78.mailop.ru;191124, Санкт-Петербург, ул. Тверская., д.16;40;383206830;FED_GENPROK_ORGANIZATION_448
1125;Прокуратура города Жуковского Московской области;Московская область;8 (495) 556-65-49;zhuk@50.mailop.ru;140185, Московская область, г. Жуковский, ул. Гарнаева, д. 2;46;382204432;FED_GENPROK_ORGANIZATION_1125
464;Биробиджанская транспортная прокуратура Дальневосточной транспортной прокуратуры;Дальневосточная транспортная прокуратура;8 (42622) 45-7-44;birobidzhan@dvtp.ru;679016, Еврейская автономная область, г. Биробиджан, ул. Советская, д. 111;99;382580020;FED_GENPROK_ORGANIZATION_464
1326;Прокуратура Любинского района Омской области;Омская область;8 (381-75) 2-12-07;r_lub@prokuratura.omsk.ru;Омская область, р.п. Любино, ул. Октябрьская, д. 85;52;384213094;FED_GENPROK_ORGANIZATION_1326
397;Московско-Ярославская транспортная прокуратура Московской межрегиональной транспортной прокуратуры;Московская межрегиональная транспортная прокуратура;8 (499) 262-14-50;mos-yartt@190.mailop.ru;107140, г. Москва, Комсомольская площадь, д. 5/45;45;382696091;FED_GENPROK_ORGANIZATION_397
1235;Новгородская транспортная прокуратура Северо-Западной транспортной прокуратуры;Северо - Западная транспортная прокуратура;8 (8162) 63-44-93;novt@590.mailop.ru;173000, Новгородская обл., г. Великий Новгород, ул. Большая Московская, д. 13 а;49;388768957;FED_GENPROK_ORGANIZATION_1235
1399;Прокуратура Шарлыкского района Оренбургской области;Оренбургская область;8 (35358) 2-10-83;sharlyk@56.mailop.ru;461450, Оренбургская область, Шарлыкский район, с. Шарлык, ул. Советская, 221;53;386885538;FED_GENPROK_ORGANIZATION_1399
144;Ахтубинская городская прокуратура Астраханской области;Астраханская область;8 (85141)-3-53-04;ahtubprok@30.mailop.ru;416500, Астраханская область, город Ахтубинск, улица Финогенова, дом 7;12;382934434;FED_GENPROK_ORGANIZATION_144
1218;Прокуратура Сеченовского района Нижегородской области;Нижегородская область;8 (831) 935-10-81;38@52.mailop.ru;607580, Нижегородская область, с. Сеченово, пл.Советская, д. 5;22;386738352;FED_GENPROK_ORGANIZATION_1218
139;Прокуратура Шенкурского района Архангельской области;Архангельская область;8 (818-51) 4-13-13;shenkursky@29.mailop.ru;165160, г. Шенкурск, ул. Ленина, д. 8;11;382907931;FED_GENPROK_ORGANIZATION_139
1275;Прокуратура Доволенского района Новосибирской области;Новосибирская область;8 (38354) 20-127;dovolpro@54.mailop.ru;632450, Новосибирская область, с. Довольное, ул. Мичурина, 14а;50;383927519;FED_GENPROK_ORGANIZATION_1275
2001;Казанская прокуратура по надзору за соблюдением законов в исправительных учреждениях  Республики Татарстан;Республика Татарстан (Татарстан);8 (843) 221-30-48;kazprok.iu@16.mailop.ru;420043, Республика Татарстан, город Казань, улица Чехова, 36;92;384646923;FED_GENPROK_ORGANIZATION_2001
1413;Прокуратура Железнодорожного района г. Орла Орловской области;Орловская область;8 (4862) 73-52-32;zhel@57.mailop.ru;302030, г. Орел, ул. Пушкина, 44;54;386887416;FED_GENPROK_ORGANIZATION_1413
154;Прокуратура Ленинского района г. Астрахани Астраханской области;Астраханская область;8 (8512) 50-20-65;leninskprok@30.mailop.ru;414045, Астраханская область, город Астрахань, улица Б. Хмельницкого, дом 35, корп. 1;12;382945003;FED_GENPROK_ORGANIZATION_154
532;Прокуратура Пестяковского района Ивановской области;Ивановская область;8 (49346)2-18-59;ivprok16@37.mailop.ru;155650, Ивановская область, п. Пестяки, ул. Майская, д. 2;24;386296335;FED_GENPROK_ORGANIZATION_532
1297;Прокуратура Северного района Новосибирской области;Новосибирская область;8 (38360) 21-036;nordpro@54.mailop.ru;632080, Новосибирская область, с. Северное, ул. Ленина, 22;50;384017095;FED_GENPROK_ORGANIZATION_1297
1322;Прокуратура Колосовского района Омской области;Омская область;8 (381-60) 2-13-97;r_kol@prokuratura.omsk.ru;Омская область, с. Колосовка, ул. 60 лет Октября, д. 12;52;384144467;FED_GENPROK_ORGANIZATION_1322
1036;Кингисеппская городская прокуратура Ленинградской области;Ленинградская область;8 (813-75) 2-24-10;plo-kingisepp@prok47.ru;188480, Ленинградская область, г. Кингисепп, ул. Воровского, д.12;41;383605106;FED_GENPROK_ORGANIZATION_1036
1146;Щелковская городская прокуратура Московской области;Московская область;8 (496) 562-92-09;shchel@50.mailop.ru;141100, Московская область, г. Щелково, Площадь Ленина, д. 7;46;382219889;FED_GENPROK_ORGANIZATION_1146
1008;Прокуратура Касторенского района Курской области;Курская область;8 (47157) 2-12-40;KAS@46.mailop.ru;306700, Курская область, Касторенский район, пос. Касторное, ул. Парковая, д. 4;38;383567725;FED_GENPROK_ORGANIZATION_1008
1136;Рузская городская прокуратура Московской области;Московская область;8 (496) 272-39-15;ruz@50.mailop.ru;143103, Московская область, г. Руза, ул. Социалистическая, д. 20;46;382212911;FED_GENPROK_ORGANIZATION_1136
1065;Прокуратура Задонского района Липецкой области;Липецкая область;8(47471) 2-16-89;zdn@48.mailop.ru;399200, Липецкая область, г. Задонск, ул. Крупской, 61.;42;383685860;FED_GENPROK_ORGANIZATION_1065
